customer_id,external_ref,first_name,last_name,email,country,created_at,segment
CUS-0000001,STU-0000001,Carlos,Contreras,carlos.contreras7090@example.com,CL,2021-07-14 19:53:33,smb
CUS-0000002,STU-0000002,Maria,Sandoval,maria.sandoval1480@lake.local,MX,2019-02-01 06:07:23,retail
CUS-0000003,STU-0000003,Ignacio,Torres,ignacio.torres8864@example.com,CL,2018-06-03 21:02:27,retail
CUS-0000004,STU-0000004,Juan,Sandoval,juan.sandoval3659@demo.io,MX,2019-08-29 12:43:31,smb
CUS-0000005,STU-0000005,Cristobal,Reyes,cristobal.reyes1471@mail.test,CL,2020-08-06 11:27:12,retail
CUS-0000006,STU-0000006,Eduardo,Castillo,eduardo.castillo7687@synthetic.dev,CL,2018-08-07 12:05:01,retail
CUS-0000007,STU-0000007,Sofia,Romero,sofia.romero6859@synthetic.dev,MX,2024-05-20 06:44:52,retail
CUS-0000008,STU-0000008,Juan,Ortiz,juan.ortiz320@example.com,AR,2021-07-20 06:43:36,retail
CUS-0000009,STU-0000009,Matias,Contreras,matias.contreras4301@mail.test,CL,2020-09-13 07:10:37,retail
CUS-0000010,STU-0000010,Daniela,Castillo,daniela.castillo2566@demo.io,AR,2022-11-03 04:02:12,retail
CUS-0000011,STU-0000011,Javier,Romero,javier.romero5574@demo.io,CL,2025-05-01 12:36:40,retail
CUS-0000012,STU-0000012,Florencia,Toro,florencia.toro8013@example.com,MX,2023-03-12 03:26:12,retail
CUS-0000013,STU-0000013,Vicente,Gutierrez,vicente.gutierrez929@example.com,MX,2024-02-02 18:58:53,enterprise
CUS-0000014,STU-0000014,Isabel,Carvajal,isabel.carvajal3382@demo.io,PE,2019-12-29 02:31:17,retail
CUS-0000015,STU-0000015,Valentina,Soto,valentina.soto9433@example.com,ES,2024-11-15 19:59:11,retail
CUS-0000016,STU-0000016,Rodrigo,Castillo,rodrigo.castillo2204@synthetic.dev,US,2018-09-09 13:44:20,retail
CUS-0000017,STU-0000017,Sofia,Hernandez,sofia.hernandez7110@synthetic.dev,CL,2021-04-17 19:31:25,retail
CUS-0000018,STU-0000018,Carlos,Fuentes,carlos.fuentes6149@lake.local,PE,2022-12-04 17:37:57,smb
CUS-0000019,STU-0000019,Camila,Hernandez,camila.hernandez3079@demo.io,PE,2018-09-16 11:29:37,retail
CUS-0000020,STU-0000020,Cristobal,Valenzuela,cristobal.valenzuela7078@lake.local,US,2020-12-27 23:04:05,retail
CUS-0000021,STU-0000021,Pedro,Contreras,pedro.contreras8093@lake.local,CL,2020-11-23 18:24:15,smb
CUS-0000022,STU-0000022,Nicolas,Henriquez,nicolas.henriquez5062@mail.test,ES,2020-04-24 00:26:17,retail
CUS-0000023,STU-0000023,Cristobal,Vasquez,cristobal.vasquez6448@lake.local,MX,2019-06-12 03:28:51,retail
CUS-0000024,STU-0000024,Lucia,Bravo,lucia.bravo4551@mail.test,US,2025-01-05 07:52:42,retail
CUS-0000025,STU-0000025,Romina,Vera,romina.vera5091@synthetic.dev,MX,2023-03-14 05:18:20,enterprise
CUS-0000026,STU-0000026,Carlos,Rojas,carlos.rojas8496@lake.local,MX,2020-09-23 09:29:11,smb
CUS-0000027,STU-0000027,Maria,Ortiz,maria.ortiz5155@demo.io,MX,2021-08-08 22:44:06,retail
CUS-0000028,STU-0000028,Emilia,Gonzalez,emilia.gonzalez8392@demo.io,CL,2020-08-26 15:06:09,enterprise
CUS-0000029,STU-0000029,Magdalena,Gonzalez,magdalena.gonzalez4832@synthetic.dev,US,2022-07-04 19:59:56,retail
CUS-0000030,STU-0000030,Trinidad,Pino,trinidad.pino296@example.com,PE,2020-10-24 19:33:45,retail
CUS-0000031,STU-0000031,Catalina,Henriquez,catalina.henriquez5095@demo.io,ES,2024-11-23 13:39:40,retail
CUS-0000032,STU-0000032,Maximiliano,Martinez,maximiliano.martinez2325@example.com,US,2025-02-16 15:40:25,retail
CUS-0000033,STU-0000033,Cristobal,Hernandez,cristobal.hernandez2385@example.com,ES,2018-12-16 12:20:59,retail
CUS-0000034,STU-0000034,Jose,Henriquez,jose.henriquez1606@example.com,BR,2023-01-04 08:18:51,enterprise
CUS-0000035,STU-0000035,Constanza,Diaz,constanza.diaz9317@demo.io,US,2023-04-21 21:17:58,smb
CUS-0000036,STU-0000036,Manuel,Flores,manuel.flores1205@example.com,PE,2025-05-24 18:54:49,retail
CUS-0000037,STU-0000037,Benjamin,Bravo,benjamin.bravo1627@example.com,US,2021-11-03 00:44:24,enterprise
CUS-0000038,STU-0000038,Andres,Rodriguez,andres.rodriguez9974@example.com,CL,2020-12-30 07:27:09,retail
CUS-0000039,STU-0000039,Valentina,Bravo,valentina.bravo3119@example.com,CL,2020-11-17 08:04:27,retail
CUS-0000040,STU-0000040,Paula,Arancibia,paula.arancibia1376@lake.local,ES,2025-03-15 22:01:10,retail
CUS-0000041,STU-0000041,Camila,Gutierrez,camila.gutierrez9456@synthetic.dev,BR,2020-09-02 08:40:07,smb
CUS-0000042,STU-0000042,Macarena,Araya,macarena.araya6753@mail.test,PE,2022-10-25 11:35:31,retail
CUS-0000043,STU-0000043,Benjamin,Romero,benjamin.romero1861@synthetic.dev,ES,2025-10-03 18:26:52,enterprise
CUS-0000044,STU-0000044,Juan,Flores,juan.flores6697@mail.test,BR,2018-10-02 03:11:57,retail
CUS-0000045,STU-0000045,Javier,Reyes,javier.reyes7172@demo.io,ES,2023-10-26 06:58:43,retail
CUS-0000046,STU-0000046,Florencia,Morales,florencia.morales4322@mail.test,CL,2022-09-22 07:40:59,retail
CUS-0000047,STU-0000047,Felipe,Espinoza,felipe.espinoza3200@mail.test,US,2024-08-17 20:15:18,retail
CUS-0000048,STU-0000048,Maria,Tapia,maria.tapia3564@example.com,CL,2024-03-08 19:38:33,retail
CUS-0000049,STU-0000049,Maria,Pino,maria.pino1430@example.com,CL,2023-05-13 04:05:48,smb
CUS-0000050,STU-0000050,Agustina,Valenzuela,agustina.valenzuela4575@lake.local,CO,2022-03-26 05:00:27,enterprise
CUS-0000051,STU-0000051,Pedro,Toro,pedro.toro1407@mail.test,BR,2023-03-11 09:53:47,retail
CUS-0000052,STU-0000052,Maria,Carrasco,maria.carrasco2447@example.com,BR,2018-03-12 01:17:33,enterprise
CUS-0000053,STU-0000053,Maria,Vega,maria.vega8170@mail.test,ES,2020-03-30 07:00:37,retail
CUS-0000054,STU-0000054,Tomas,Vargas,tomas.vargas4694@lake.local,PE,2023-04-07 07:48:39,smb
CUS-0000055,STU-0000055,Valentina,Tapia,valentina.tapia7432@example.com,CL,2018-10-21 14:41:05,smb
CUS-0000056,STU-0000056,Paula,Cortes,paula.cortes3593@synthetic.dev,CL,2025-08-14 22:27:15,enterprise
CUS-0000057,STU-0000057,Sebastian,Fuentes,sebastian.fuentes7402@mail.test,AR,2019-05-05 18:45:05,retail
CUS-0000058,STU-0000058,Martina,Carvajal,martina.carvajal7740@mail.test,CL,2022-09-13 14:12:44,smb
CUS-0000059,STU-0000059,Trinidad,Bravo,trinidad.bravo2272@example.com,ES,2021-05-03 17:21:02,retail
CUS-0000060,STU-0000060,Camila,Vera,camila.vera3641@demo.io,CL,2022-12-05 11:18:49,retail
CUS-0000061,STU-0000061,Constanza,Pino,constanza.pino1793@lake.local,AR,2018-08-08 10:26:46,retail
CUS-0000062,STU-0000062,Carmen,Pereira,carmen.pereira8116@lake.local,CL,2020-03-26 11:45:52,retail
CUS-0000063,STU-0000063,Camila,Tapia,camila.tapia5377@example.com,AR,2024-01-23 19:45:15,retail
CUS-0000064,STU-0000064,Valentina,Riquelme,valentina.riquelme6741@lake.local,AR,2022-10-25 20:44:58,retail
CUS-0000065,STU-0000065,Javier,Pizarro,javier.pizarro6783@example.com,CL,2024-12-23 09:27:26,retail
CUS-0000066,STU-0000066,Daniel,Perez,daniel.perez8951@lake.local,CL,2018-09-20 20:09:05,smb
CUS-0000067,STU-0000067,Renata,Vega,renata.vega7354@synthetic.dev,CL,2023-10-24 07:48:38,smb
CUS-0000068,STU-0000068,Eduardo,Henriquez,eduardo.henriquez1108@mail.test,CO,2018-07-04 01:59:36,smb
CUS-0000069,STU-0000069,Valentina,Rodriguez,valentina.rodriguez6611@lake.local,CL,2018-12-06 13:07:07,retail
CUS-0000070,STU-0000070,Gabriel,Soto,gabriel.soto5174@synthetic.dev,AR,2019-02-26 16:26:30,retail
CUS-0000071,STU-0000071,Florencia,Pereira,florencia.pereira4679@example.com,CL,2024-12-27 10:08:02,smb
CUS-0000072,STU-0000072,Nicolas,Carvajal,nicolas.carvajal1582@lake.local,CO,2021-08-31 22:56:52,retail
CUS-0000073,STU-0000073,Florencia,Espinoza,florencia.espinoza3528@synthetic.dev,MX,2024-10-03 22:08:40,retail
CUS-0000074,STU-0000074,Constanza,Carrasco,constanza.carrasco626@synthetic.dev,ES,2021-04-17 01:44:38,retail
CUS-0000075,STU-0000075,Pedro,Silva,pedro.silva4258@example.com,CL,2022-10-20 22:38:27,smb
CUS-0000076,STU-0000076,Vicente,Gonzalez,vicente.gonzalez7373@lake.local,CL,2018-06-11 01:39:50,smb
CUS-0000077,STU-0000077,Carmen,Ortiz,carmen.ortiz2719@demo.io,AR,2020-11-04 22:53:08,smb
CUS-0000078,STU-0000078,Benjamin,Munoz,benjamin.munoz6866@demo.io,CL,2023-03-28 20:00:31,retail
CUS-0000079,STU-0000079,Martina,Flores,martina.flores2709@mail.test,CL,2021-12-03 06:33:49,retail
CUS-0000080,STU-0000080,Rodrigo,Gutierrez,rodrigo.gutierrez7152@lake.local,PE,2023-11-22 23:06:47,smb
CUS-0000081,STU-0000081,Alejandro,Espinoza,alejandro.espinoza6882@mail.test,CO,2020-09-27 10:07:19,retail
CUS-0000082,STU-0000082,Agustina,Rivera,agustina.rivera9159@synthetic.dev,CL,2025-01-13 00:04:59,retail
CUS-0000083,STU-0000083,Maria,Castillo,maria.castillo2838@synthetic.dev,CL,2024-01-14 05:33:44,retail
CUS-0000084,STU-0000084,Jose,Diaz,jose.diaz6620@synthetic.dev,CO,2019-11-19 20:51:28,retail
CUS-0000085,STU-0000085,Manuel,Saavedra,manuel.saavedra6323@demo.io,CL,2020-05-11 10:18:41,retail
CUS-0000086,STU-0000086,Daniel,Vasquez,daniel.vasquez2144@example.com,MX,2024-04-09 11:37:37,retail
CUS-0000087,STU-0000087,Maximiliano,Romero,maximiliano.romero131@mail.test,CL,2025-03-23 00:59:08,retail
CUS-0000088,STU-0000088,Fernanda,Rojas,fernanda.rojas427@synthetic.dev,CL,2022-03-09 04:14:31,retail
CUS-0000089,STU-0000089,Ignacio,Vera,ignacio.vera444@demo.io,US,2022-04-25 10:58:42,smb
CUS-0000090,STU-0000090,Emilia,Reyes,emilia.reyes6882@synthetic.dev,CO,2024-11-14 14:20:17,enterprise
CUS-0000091,STU-0000091,Renata,Gonzalez,renata.gonzalez9375@mail.test,CL,2021-11-30 12:55:10,retail
CUS-0000092,STU-0000092,Juan,Lopez,juan.lopez1999@mail.test,BR,2024-07-09 17:29:44,retail
CUS-0000093,STU-0000093,Maximiliano,Gomez,maximiliano.gomez9936@mail.test,BR,2024-01-04 16:22:02,enterprise
CUS-0000094,STU-0000094,Valentina,Araya,valentina.araya57@mail.test,AR,2025-05-29 15:49:03,smb
CUS-0000095,STU-0000095,Rodrigo,Sandoval,rodrigo.sandoval9593@synthetic.dev,AR,2025-12-05 04:03:36,smb
CUS-0000096,STU-0000096,Maria,Morales,maria.morales8396@lake.local,CL,2018-12-21 04:11:02,retail
CUS-0000097,STU-0000097,Renata,Cortes,renata.cortes5802@lake.local,ES,2021-08-07 08:56:56,enterprise
CUS-0000098,STU-0000098,Emilia,Ortiz,emilia.ortiz3510@demo.io,CO,2019-05-18 06:13:25,smb
CUS-0000099,STU-0000099,Daniela,Reyes,daniela.reyes3013@example.com,AR,2020-07-18 09:02:22,enterprise
CUS-0000100,STU-0000100,Catalina,Cordero,catalina.cordero3099@example.com,CL,2021-01-27 10:42:16,smb
CUS-0000101,STU-0000101,Luis,Cortes,luis.cortes91@synthetic.dev,BR,2019-05-25 21:58:14,retail
CUS-0000102,STU-0000102,Eduardo,Castillo,eduardo.castillo4927@lake.local,AR,2022-12-16 10:53:03,smb
CUS-0000103,STU-0000103,Lucia,Sandoval,lucia.sandoval5794@example.com,CL,2018-03-24 06:57:48,retail
CUS-0000104,STU-0000104,Valentina,Alvarez,valentina.alvarez5539@demo.io,CL,2022-03-08 09:21:06,retail
