contact_id,first_name,last_name,email,phone,title,created_at,account_id
CON-0000001,Agustina,Reyes,agustina.reyes5416@synthetic.dev,+56 2 6325 8990,Director,2019-11-14 15:32:18,ACC-0003994
CON-0000002,Amanda,Araya,amanda.araya4596@mail.test,+56 3 4585 4539,VP,2023-04-20 11:58:45,ACC-0002188
CON-0000003,Constanza,Pino,constanza.pino9730@lake.local,+56 3 9644 4573,Sales Rep,2025-12-09 22:55:19,ACC-0001589
CON-0000004,Tomas,Espinoza,tomas.espinoza3400@demo.io,+56 7 5955 9961,CEO,2025-12-28 06:51:07,ACC-0001995
CON-0000005,Camila,Ortiz,camila.ortiz2378@lake.local,+56 5 1366 6556,Manager,2019-10-04 09:46:14,ACC-0001288
CON-0000006,Nicolas,Gutierrez,nicolas.gutierrez107@mail.test,+56 6 1765 7007,CEO,2024-04-04 07:47:22,ACC-0004036
CON-0000007,Magdalena,Martinez,magdalena.martinez8322@synthetic.dev,+56 3 8400 6439,Specialist,2025-01-07 15:55:50,ACC-0002338
CON-0000008,Daniel,Castro,daniel.castro1239@mail.test,+56 2 9939 5816,Analyst,2025-02-02 08:28:25,ACC-0000186
CON-0000009,Manuel,Cortes,manuel.cortes3785@demo.io,+56 8 3433 4692,Sales Rep,2025-02-15 14:56:15,ACC-0002371
CON-0000010,Nicolas,Pino,nicolas.pino7847@example.com,+56 6 7850 9643,Manager,2023-03-21 02:25:47,ACC-0003435
CON-0000011,Diego,Martinez,diego.martinez4227@synthetic.dev,+56 5 8730 8018,Analyst,2024-07-24 20:11:14,ACC-0003334
CON-0000012,Magdalena,Pereira,magdalena.pereira3243@lake.local,+56 2 9714 1428,Sales Rep,2020-07-09 21:05:28,ACC-0002639
CON-0000013,Tomas,Aravena,tomas.aravena8562@lake.local,+56 8 2460 4355,Analyst,2023-08-08 23:08:02,ACC-0004002
CON-0000014,Andres,Carvajal,andres.carvajal511@demo.io,+56 7 2940 1581,CEO,2020-06-24 16:06:59,ACC-0001694
CON-0000015,Daniel,Henriquez,daniel.henriquez4227@example.com,+56 8 9565 7017,CTO,2021-02-26 04:54:00,ACC-0001051
CON-0000016,Benjamin,Munoz,benjamin.munoz3549@demo.io,+56 5 9023 4491,Director,2019-04-04 05:00:15,ACC-0001951
CON-0000017,Carmen,Bravo,carmen.bravo2132@demo.io,+56 5 5914 8988,CFO,2022-07-24 21:27:01,ACC-0004641
CON-0000018,Amanda,Saavedra,amanda.saavedra161@synthetic.dev,+56 5 2469 6977,Engineer,2018-07-02 01:01:37,ACC-0003760
CON-0000019,Andres,Bravo,andres.bravo7948@example.com,+56 6 4048 5662,CFO,2023-11-12 05:42:18,ACC-0003657
CON-0000020,Pablo,Toro,pablo.toro5500@example.com,+56 4 3639 3785,Manager,2022-07-27 22:57:17,ACC-0004739
CON-0000021,Jose,Vega,jose.vega6207@lake.local,+56 3 1955 9684,Analyst,2022-05-02 12:19:39,ACC-0002253
CON-0000022,Sofia,Romero,sofia.romero9318@example.com,+56 8 7959 4303,Specialist,2018-02-03 21:14:03,ACC-0001809
CON-0000023,Fernanda,Soto,fernanda.soto6785@example.com,+56 6 7416 3845,Director,2022-08-18 22:24:15,ACC-0004628
CON-0000024,Eduardo,Contreras,eduardo.contreras9780@demo.io,+56 6 6185 2155,CFO,2023-06-03 20:02:12,ACC-0001366
CON-0000025,Carmen,Rivera,carmen.rivera3303@demo.io,+56 6 3379 5520,CTO,2024-03-22 13:32:07,ACC-0004996
CON-0000026,Maria,Lopez,maria.lopez4209@example.com,+56 8 3323 4863,Sales Rep,2018-01-13 13:06:40,ACC-0001314
CON-0000027,Felipe,Riquelme,felipe.riquelme142@synthetic.dev,+56 8 3215 3379,CEO,2021-09-24 03:51:46,ACC-0004448
CON-0000028,Sebastian,Flores,sebastian.flores5697@example.com,+56 8 2291 7505,CFO,2020-05-19 20:22:43,ACC-0000396
CON-0000029,Maria,Carvajal,maria.carvajal2026@lake.local,+56 5 1774 6918,CTO,2021-07-17 21:42:14,ACC-0004948
CON-0000030,Camila,Pino,camila.pino7664@mail.test,+56 6 8694 9025,Sales Rep,2022-09-08 18:02:14,ACC-0001942
CON-0000031,Daniel,Carvajal,daniel.carvajal9210@example.com,+56 2 1684 7986,CEO,2023-02-05 13:40:46,ACC-0003340
CON-0000032,Josefa,Toro,josefa.toro7089@lake.local,+56 3 4241 7662,VP,2024-07-13 15:36:37,ACC-0004728
CON-0000033,Vicente,Bravo,vicente.bravo6676@example.com,+56 8 6368 2639,Sales Rep,2022-10-17 17:53:02,ACC-0001673
CON-0000034,Eduardo,Perez,eduardo.perez8986@synthetic.dev,+56 8 6185 1378,Sales Rep,2025-08-25 23:40:16,ACC-0001424
CON-0000035,Jose,Castro,jose.castro4288@synthetic.dev,+56 5 8247 3557,CEO,2020-01-01 13:19:34,ACC-0001333
CON-0000036,Vicente,Contreras,vicente.contreras6408@mail.test,+56 7 6833 6837,Director,2024-03-06 12:39:04,ACC-0004503
CON-0000037,Lucia,Sandoval,lucia.sandoval5829@mail.test,+56 7 2376 1020,CFO,2022-08-15 21:46:34,ACC-0003874
CON-0000038,Carmen,Vega,carmen.vega464@lake.local,+56 3 3488 9720,Analyst,2024-12-16 09:59:35,ACC-0004853
CON-0000039,Constanza,Salazar,constanza.salazar5089@example.com,+56 3 6559 7010,Director,2021-06-03 12:13:18,ACC-0004045
CON-0000040,Macarena,Vasquez,macarena.vasquez7537@mail.test,+56 8 7482 5360,Manager,2019-11-04 10:17:37,ACC-0004044
CON-0000041,Josefa,Gutierrez,josefa.gutierrez5627@synthetic.dev,+56 7 5014 4812,Manager,2021-10-07 16:34:21,ACC-0004125
CON-0000042,Josefa,Espinoza,josefa.espinoza4788@synthetic.dev,+56 2 2760 6520,CTO,2024-01-22 08:05:46,ACC-0004238
CON-0000043,Felipe,Ortiz,felipe.ortiz7337@lake.local,+56 2 9076 5823,CEO,2025-05-10 19:32:05,ACC-0001774
CON-0000044,Cristobal,Torres,cristobal.torres473@lake.local,+56 3 9900 2965,Director,2025-06-20 15:56:43,ACC-0004656
CON-0000045,Manuel,Carrasco,manuel.carrasco1576@demo.io,+56 4 1222 6429,Engineer,2021-07-02 10:27:37,ACC-0004846
CON-0000046,Tomas,Arancibia,tomas.arancibia233@lake.local,+56 3 6233 7636,CEO,2020-12-13 08:09:23,ACC-0002103
CON-0000047,Juan,Lopez,juan.lopez7648@synthetic.dev,+56 4 4816 9127,CFO,2025-05-14 13:33:56,ACC-0004244
CON-0000048,Vicente,Aravena,vicente.aravena4698@example.com,+56 7 8914 8815,CEO,2022-07-15 07:53:06,ACC-0001563
CON-0000049,Catalina,Araya,catalina.araya8121@lake.local,+56 5 6469 6436,CTO,2019-05-24 16:22:38,ACC-0003895
CON-0000050,Rodrigo,Pereira,rodrigo.pereira7793@lake.local,+56 4 6072 5638,Director,2020-06-18 00:17:59,ACC-0001463
CON-0000051,Pablo,Bravo,pablo.bravo6364@example.com,+56 4 5806 9475,Sales Rep,2022-08-27 05:30:46,ACC-0001512
CON-0000052,Felipe,Castro,felipe.castro7882@mail.test,+56 5 6441 3553,CTO,2018-08-29 04:55:29,ACC-0000792
CON-0000053,Sebastian,Soto,sebastian.soto7195@demo.io,+56 7 2946 8377,Specialist,2022-03-15 23:44:45,ACC-0002306
CON-0000054,Juan,Reyes,juan.reyes9582@demo.io,+56 3 9973 7694,Sales Rep,2024-12-12 15:20:10,ACC-0004882
CON-0000055,Carlos,Rodriguez,carlos.rodriguez6272@synthetic.dev,+56 3 6757 8283,Sales Rep,2025-06-28 11:00:15,ACC-0002076
CON-0000056,Amanda,Riquelme,amanda.riquelme7293@demo.io,+56 2 3218 2576,VP,2018-05-25 01:04:22,ACC-0001022
