lead_id,first_name,last_name,email,source,status,score,created_at
LED-0000001,Javier,Torres,javier.torres9271@synthetic.dev,web,qualified,49,2022-01-13 15:20:06
LED-0000002,Eduardo,Arancibia,eduardo.arancibia7632@demo.io,cold_call,contacted,61,2024-08-21 15:32:50
LED-0000003,Fernanda,Vasquez,fernanda.vasquez1846@example.com,referral,qualified,43,2025-10-28 22:38:01
LED-0000004,Agustina,Diaz,agustina.diaz8925@mail.test,web,qualified,0,2023-07-17 22:09:48
LED-0000005,Camila,Riquelme,camila.riquelme2816@lake.local,web,new,7,2022-07-19 08:52:51
LED-0000006,Javier,Contreras,javier.contreras9572@example.com,web,qualified,76,2022-02-16 17:23:27
LED-0000007,Maximiliano,Valenzuela,maximiliano.valenzuela7883@demo.io,referral,new,19,2025-11-24 04:09:27
LED-0000008,Pablo,Castro,pablo.castro111@mail.test,web,contacted,62,2023-02-02 21:40:19
LED-0000009,Luis,Henriquez,luis.henriquez7556@mail.test,referral,contacted,58,2025-03-17 21:30:02
LED-0000010,Nicolas,Salazar,nicolas.salazar7652@example.com,web,new,9,2025-01-09 14:48:35
LED-0000011,Macarena,Vega,macarena.vega9921@demo.io,event,qualified,47,2024-08-10 13:07:51
LED-0000012,Renata,Araya,renata.araya4734@mail.test,ads,lost,33,2024-10-09 23:31:24
LED-0000013,Camila,Carrasco,camila.carrasco3262@synthetic.dev,referral,new,38,2022-01-14 01:44:52
LED-0000014,Tomas,Soto,tomas.soto6774@demo.io,referral,contacted,47,2023-04-28 06:29:43
LED-0000015,Constanza,Bravo,constanza.bravo4835@example.com,ads,qualified,59,2023-08-13 04:53:01
LED-0000016,Javier,Gonzalez,javier.gonzalez1833@mail.test,web,converted,62,2024-12-03 14:50:29
LED-0000017,Manuel,Contreras,manuel.contreras8748@demo.io,cold_call,converted,66,2022-10-20 08:07:48
LED-0000018,Daniela,Rodriguez,daniela.rodriguez7426@lake.local,cold_call,contacted,74,2022-12-13 11:14:26
LED-0000019,Maximiliano,Hernandez,maximiliano.hernandez5773@mail.test,referral,contacted,63,2022-03-17 22:39:04
LED-0000020,Javier,Soto,javier.soto1608@demo.io,web,lost,9,2025-11-17 12:42:07
LED-0000021,Valentina,Alvarez,valentina.alvarez5937@lake.local,referral,lost,85,2025-05-25 00:33:35
LED-0000022,Nicolas,Rivera,nicolas.rivera4221@synthetic.dev,web,lost,2,2024-10-08 23:18:27
LED-0000023,Camila,Romero,camila.romero3209@lake.local,ads,new,60,2023-01-26 20:31:46
LED-0000024,Benjamin,Arancibia,benjamin.arancibia5558@example.com,event,contacted,10,2025-12-05 22:49:48
LED-0000025,Macarena,Munoz,macarena.munoz2653@demo.io,referral,qualified,5,2023-01-17 19:06:22
LED-0000026,Luis,Rojas,luis.rojas1196@demo.io,referral,qualified,27,2022-06-15 10:53:56
LED-0000027,Macarena,Sandoval,macarena.sandoval6829@synthetic.dev,web,qualified,38,2022-01-01 20:15:44
LED-0000028,Camila,Rodriguez,camila.rodriguez8639@synthetic.dev,referral,new,81,2025-08-10 16:01:47
LED-0000029,Paula,Pereira,paula.pereira1750@mail.test,web,contacted,17,2024-10-13 06:41:06
LED-0000030,Luis,Rivera,luis.rivera2024@synthetic.dev,referral,qualified,60,2024-08-11 05:55:08
LED-0000031,Matias,Valenzuela,matias.valenzuela7389@lake.local,ads,contacted,94,2022-02-12 12:52:03
LED-0000032,Carlos,Saavedra,carlos.saavedra994@demo.io,web,contacted,58,2024-01-15 04:05:18
LED-0000033,Daniela,Castillo,daniela.castillo84@mail.test,web,new,59,2022-03-02 13:01:46
LED-0000034,Macarena,Rodriguez,macarena.rodriguez7154@mail.test,web,new,62,2025-06-19 15:53:54
LED-0000035,Maria,Cortes,maria.cortes2302@lake.local,event,contacted,55,2024-10-07 20:57:39
LED-0000036,Manuel,Pereira,manuel.pereira8009@lake.local,event,lost,86,2022-07-27 17:52:48
LED-0000037,Ignacio,Reyes,ignacio.reyes3524@example.com,web,lost,73,2023-02-24 10:48:13
LED-0000038,Javier,Lopez,javier.lopez7367@lake.local,web,new,32,2023-02-26 20:01:59
LED-0000039,Martina,Munoz,martina.munoz7461@synthetic.dev,cold_call,qualified,5,2025-12-07 09:38:27
LED-0000040,Vicente,Vargas,vicente.vargas917@mail.test,event,new,9,2025-12-19 20:52:03
LED-0000041,Isabel,Rivera,isabel.rivera1762@mail.test,ads,new,49,2022-09-09 09:42:23
LED-0000042,Emilia,Soto,emilia.soto2197@lake.local,cold_call,contacted,84,2022-09-29 02:37:31
LED-0000043,Luis,Gonzalez,luis.gonzalez6357@mail.test,web,contacted,47,2023-06-07 10:33:18
LED-0000044,Ignacio,Salazar,ignacio.salazar6182@synthetic.dev,referral,qualified,20,2025-08-16 03:54:44
LED-0000045,Trinidad,Gomez,trinidad.gomez5291@synthetic.dev,cold_call,new,16,2022-05-25 19:28:41
LED-0000046,Daniela,Silva,daniela.silva6809@synthetic.dev,web,new,79,2025-05-15 15:59:15
LED-0000047,Renata,Cordero,renata.cordero5976@demo.io,cold_call,qualified,30,2024-12-09 14:07:19
LED-0000048,Camila,Romero,camila.romero5541@lake.local,ads,lost,19,2025-11-18 22:48:59
LED-0000049,Constanza,Diaz,constanza.diaz7138@demo.io,web,qualified,77,2023-07-21 12:11:10
LED-0000050,Ignacio,Toro,ignacio.toro1710@mail.test,web,contacted,19,2022-10-10 01:15:57
LED-0000051,Amanda,Cortes,amanda.cortes1002@lake.local,cold_call,new,53,2025-02-03 01:04:13
LED-0000052,Martina,Perez,martina.perez8705@demo.io,referral,contacted,17,2023-04-17 11:18:01
LED-0000053,Nicolas,Rivera,nicolas.rivera2575@mail.test,referral,lost,44,2025-08-15 04:53:38
LED-0000054,Florencia,Araya,florencia.araya9327@synthetic.dev,web,new,88,2024-05-12 11:09:59
LED-0000055,Magdalena,Soto,magdalena.soto8517@synthetic.dev,event,new,51,2022-01-08 10:46:06
LED-0000056,Amanda,Araya,amanda.araya5670@mail.test,cold_call,new,30,2024-08-23 20:53:10
LED-0000057,Carlos,Arancibia,carlos.arancibia8796@synthetic.dev,ads,new,16,2025-10-20 22:01:04
LED-0000058,Benjamin,Perez,benjamin.perez3718@demo.io,ads,lost,43,2022-09-11 11:32:35
LED-0000059,Rodrigo,Gonzalez,rodrigo.gonzalez8578@example.com,web,converted,36,2022-05-27 19:00:46
LED-0000060,Renata,Soto,renata.soto8214@mail.test,referral,contacted,22,2023-04-12 04:38:46
LED-0000061,Sebastian,Perez,sebastian.perez346@lake.local,web,converted,48,2025-02-12 15:24:20
LED-0000062,Ignacio,Romero,ignacio.romero1491@demo.io,web,lost,95,2024-07-05 18:08:35
LED-0000063,Josefa,Carrasco,josefa.carrasco3246@example.com,web,qualified,30,2025-07-11 21:24:45
LED-0000064,Carlos,Romero,carlos.romero4320@lake.local,web,new,8,2024-12-27 22:29:28
LED-0000065,Jose,Carrasco,jose.carrasco8048@synthetic.dev,web,new,48,2022-11-10 22:02:45
LED-0000066,Maximiliano,Bravo,maximiliano.bravo6536@lake.local,referral,converted,74,2022-12-02 12:03:32
LED-0000067,Pablo,Silva,pablo.silva3445@lake.local,web,contacted,19,2023-02-18 17:09:58
LED-0000068,Rodrigo,Tapia,rodrigo.tapia7208@demo.io,event,contacted,39,2023-11-30 08:46:50
LED-0000069,Manuel,Henriquez,manuel.henriquez3369@lake.local,ads,contacted,63,2025-01-19 09:40:19
LED-0000070,Felipe,Sepulveda,felipe.sepulveda4978@demo.io,referral,qualified,18,2024-11-18 04:40:31
LED-0000071,Tomas,Cortes,tomas.cortes1627@mail.test,web,qualified,95,2023-09-30 02:00:09
LED-0000072,Lucia,Saavedra,lucia.saavedra6845@lake.local,cold_call,new,88,2024-12-03 04:28:45
LED-0000073,Rodrigo,Vasquez,rodrigo.vasquez6670@mail.test,web,lost,87,2022-07-05 14:31:59
LED-0000074,Lucia,Cordero,lucia.cordero7332@lake.local,ads,contacted,98,2023-01-14 02:39:51
LED-0000075,Romina,Perez,romina.perez1539@example.com,ads,new,28,2025-08-29 21:43:24
LED-0000076,Manuel,Vasquez,manuel.vasquez2540@demo.io,web,qualified,49,2024-01-07 17:16:52
LED-0000077,Fernanda,Valenzuela,fernanda.valenzuela1554@example.com,web,qualified,69,2025-12-21 01:41:33
LED-0000078,Isabel,Pino,isabel.pino8778@demo.io,web,contacted,59,2024-10-12 01:44:29
LED-0000079,Antonia,Diaz,antonia.diaz5882@example.com,web,lost,18,2023-05-19 11:19:15
LED-0000080,Josefa,Saavedra,josefa.saavedra1387@lake.local,event,qualified,73,2022-04-16 20:38:17
LED-0000081,Eduardo,Vargas,eduardo.vargas3476@example.com,web,qualified,57,2023-05-21 21:59:20
LED-0000082,Alejandro,Rodriguez,alejandro.rodriguez6540@synthetic.dev,web,new,56,2023-12-20 07:26:35
LED-0000083,Daniela,Ortiz,daniela.ortiz7837@demo.io,referral,new,44,2023-08-11 01:59:38
