professor_id,first_name,last_name,email,department,hired_at
PRF-00001,Matias,Sandoval,matias.sandoval4330@lake.local,cs,2010-11-10
PRF-00002,Gabriel,Arancibia,gabriel.arancibia7939@demo.io,cs,2021-05-27
PRF-00003,Rodrigo,Sandoval,rodrigo.sandoval265@demo.io,cs,2022-06-20
PRF-00004,Matias,Fuentes,matias.fuentes5187@mail.test,math,2009-09-01
PRF-00005,Lucia,Gutierrez,lucia.gutierrez6256@demo.io,cs,2012-03-23
PRF-00006,Matias,Perez,matias.perez5687@mail.test,physics,2006-01-23
PRF-00007,Antonia,Lopez,antonia.lopez4119@example.com,cs,2014-10-28
PRF-00008,Benjamin,Munoz,benjamin.munoz9479@lake.local,chemistry,2006-01-17
PRF-00009,Vicente,Rivera,vicente.rivera5286@lake.local,economics,2018-12-14
PRF-00010,Romina,Saavedra,romina.saavedra7346@synthetic.dev,history,2012-08-02
PRF-00011,Martina,Valenzuela,martina.valenzuela5803@example.com,economics,2011-08-17
PRF-00012,Luis,Araya,luis.araya8444@synthetic.dev,economics,2023-03-16
PRF-00013,Constanza,Vega,constanza.vega8123@demo.io,cs,2009-04-20
PRF-00014,Pedro,Martinez,pedro.martinez8413@lake.local,math,2013-11-15
PRF-00015,Daniel,Henriquez,daniel.henriquez2862@mail.test,history,2008-01-17
PRF-00016,Juan,Carvajal,juan.carvajal8566@demo.io,math,2021-03-07
PRF-00017,Maria,Vasquez,maria.vasquez5982@lake.local,cs,2009-10-31
PRF-00018,Camila,Vera,camila.vera8272@lake.local,biology,2006-06-09
PRF-00019,Diego,Gutierrez,diego.gutierrez7559@synthetic.dev,math,2023-09-24
PRF-00020,Ignacio,Rodriguez,ignacio.rodriguez4545@example.com,biology,2014-06-30
PRF-00021,Isabel,Valenzuela,isabel.valenzuela20@lake.local,cs,2007-07-16
PRF-00022,Paula,Salazar,paula.salazar3549@lake.local,math,2016-05-22
PRF-00023,Ana,Perez,ana.perez3817@demo.io,history,2018-01-19
PRF-00024,Maria,Flores,maria.flores3636@synthetic.dev,math,2024-04-10
PRF-00025,Constanza,Soto,constanza.soto1445@synthetic.dev,chemistry,2022-05-14
PRF-00026,Maximiliano,Bravo,maximiliano.bravo659@mail.test,cs,2015-02-03
PRF-00027,Felipe,Arancibia,felipe.arancibia8871@demo.io,literature,2007-10-16
PRF-00028,Camila,Valenzuela,camila.valenzuela6059@example.com,chemistry,2021-01-04
PRF-00029,Manuel,Vera,manuel.vera8671@example.com,literature,2011-03-09
PRF-00030,Renata,Gonzalez,renata.gonzalez6024@lake.local,math,2018-05-15
PRF-00031,Trinidad,Sandoval,trinidad.sandoval8062@example.com,cs,2019-12-30
PRF-00032,Ana,Fuentes,ana.fuentes4187@synthetic.dev,math,2016-10-18
PRF-00033,Diego,Castillo,diego.castillo2262@synthetic.dev,physics,2019-03-03
PRF-00034,Catalina,Morales,catalina.morales6699@mail.test,cs,2019-01-18
PRF-00035,Emilia,Carrasco,emilia.carrasco8733@synthetic.dev,economics,2006-10-27
PRF-00036,Romina,Soto,romina.soto9130@mail.test,history,2024-04-11
PRF-00037,Diego,Contreras,diego.contreras4652@demo.io,economics,2014-02-16
PRF-00038,Gabriel,Toro,gabriel.toro2462@demo.io,history,2006-05-26
PRF-00039,Diego,Hernandez,diego.hernandez8939@demo.io,history,2013-11-02
PRF-00040,Isabel,Aravena,isabel.aravena1658@example.com,math,2008-12-13
PRF-00041,Amanda,Pino,amanda.pino8691@synthetic.dev,cs,2005-05-15
PRF-00042,Gabriel,Silva,gabriel.silva70@synthetic.dev,economics,2007-03-09
PRF-00043,Amanda,Soto,amanda.soto6734@lake.local,chemistry,2016-09-24
PRF-00044,Tomas,Contreras,tomas.contreras9273@synthetic.dev,cs,2020-10-26
PRF-00045,Valentina,Lopez,valentina.lopez979@example.com,literature,2015-07-22
PRF-00046,Paula,Carvajal,paula.carvajal8754@synthetic.dev,physics,2006-10-27
PRF-00047,Andres,Romero,andres.romero8357@example.com,physics,2023-07-30
PRF-00048,Emilia,Lopez,emilia.lopez659@demo.io,cs,2017-08-12
PRF-00049,Pedro,Sepulveda,pedro.sepulveda9652@example.com,math,2023-05-09
PRF-00050,Daniel,Gomez,daniel.gomez5612@demo.io,cs,2005-06-25
PRF-00051,Josefa,Sepulveda,josefa.sepulveda7788@synthetic.dev,economics,2018-03-21
PRF-00052,Antonia,Fuentes,antonia.fuentes2393@lake.local,economics,2011-10-24
PRF-00053,Lucia,Carvajal,lucia.carvajal1366@demo.io,biology,2015-10-30
PRF-00054,Ana,Riquelme,ana.riquelme5422@demo.io,biology,2016-06-02
PRF-00055,Sofia,Sandoval,sofia.sandoval7653@lake.local,economics,2013-02-11
PRF-00056,Ana,Cortes,ana.cortes8600@mail.test,math,2024-05-01
PRF-00057,Magdalena,Cordero,magdalena.cordero7310@example.com,economics,2006-02-25
PRF-00058,Valentina,Castillo,valentina.castillo6779@mail.test,literature,2008-03-24
