student_id,first_name,last_name,email,birth_date,enrolled_at,country
STU-0000001,Martina,Diaz,martina.diaz5727@lake.local,2000-12-21,2019-10-01,US
STU-0000002,Manuel,Torres,manuel.torres5619@mail.test,2004-08-10,2025-03-20,CL
STU-0000003,Maximiliano,Martinez,maximiliano.martinez7688@demo.io,2007-08-10,2022-10-19,PE
STU-0000004,Magdalena,Vasquez,magdalena.vasquez8686@example.com,2002-05-13,2020-09-23,CL
STU-0000005,Luis,Rivera,luis.rivera9349@lake.local,2005-12-18,2025-07-28,CL
STU-0000006,Andres,Fuentes,andres.fuentes1949@mail.test,2000-09-17,2023-09-28,AR
STU-0000007,Maximiliano,Martinez,maximiliano.martinez4297@mail.test,1996-06-20,2019-05-09,AR
STU-0000008,Juan,Riquelme,juan.riquelme7358@example.com,1999-08-06,2021-12-28,CL
STU-0000009,Josefa,Araya,josefa.araya1666@mail.test,2005-08-04,2019-01-04,PE
STU-0000010,Eduardo,Castillo,eduardo.castillo5729@demo.io,1999-12-09,2024-01-08,CL
STU-0000011,Rodrigo,Valenzuela,rodrigo.valenzuela2000@mail.test,1995-09-30,2023-09-16,CL
STU-0000012,Josefa,Hernandez,josefa.hernandez1839@lake.local,2006-07-03,2018-03-27,CL
STU-0000013,Maria,Saavedra,maria.saavedra1876@example.com,1997-05-01,2024-03-09,AR
STU-0000014,Diego,Vasquez,diego.vasquez4910@example.com,2004-05-29,2022-09-27,CL
STU-0000015,Carlos,Gonzalez,carlos.gonzalez4238@lake.local,1996-02-12,2024-05-12,CL
STU-0000016,Matias,Cordero,matias.cordero6749@synthetic.dev,1995-01-11,2023-12-24,CL
STU-0000017,Romina,Perez,romina.perez7837@synthetic.dev,2000-11-19,2024-05-30,ES
STU-0000018,Carlos,Carvajal,carlos.carvajal8501@lake.local,1995-01-05,2024-01-17,CL
STU-0000019,Camila,Morales,camila.morales5349@synthetic.dev,1996-11-10,2018-08-02,AR
STU-0000020,Eduardo,Munoz,eduardo.munoz8784@lake.local,2002-03-01,2022-12-07,BR
STU-0000021,Vicente,Vargas,vicente.vargas4375@mail.test,1998-11-22,2020-12-08,PE
STU-0000022,Renata,Tapia,renata.tapia4603@example.com,2005-08-20,2021-03-03,CO
STU-0000023,Alejandro,Rojas,alejandro.rojas6853@demo.io,1999-09-24,2021-09-08,CL
STU-0000024,Ana,Castro,ana.castro632@lake.local,1998-03-24,2018-01-21,AR
STU-0000025,Daniela,Cordero,daniela.cordero6202@synthetic.dev,2005-09-07,2022-08-21,ES
STU-0000026,Felipe,Pereira,felipe.pereira7632@example.com,2005-08-21,2019-04-16,CL
STU-0000027,Cristobal,Cordero,cristobal.cordero2662@mail.test,2007-01-29,2021-03-04,US
STU-0000028,Alejandro,Vasquez,alejandro.vasquez4025@lake.local,2005-03-19,2021-09-25,CL
STU-0000029,Macarena,Rojas,macarena.rojas6784@demo.io,1996-10-02,2023-07-01,US
STU-0000030,Camila,Morales,camila.morales223@mail.test,2004-03-22,2019-03-10,CL
STU-0000031,Matias,Cordero,matias.cordero8584@demo.io,2006-07-25,2024-04-22,CL
STU-0000032,Constanza,Riquelme,constanza.riquelme3794@synthetic.dev,2001-05-16,2018-05-15,CL
STU-0000033,Macarena,Aravena,macarena.aravena9076@demo.io,2003-09-19,2025-03-01,CL
STU-0000034,Matias,Soto,matias.soto2057@example.com,2005-04-03,2019-05-09,PE
STU-0000035,Josefa,Castillo,josefa.castillo7414@demo.io,1996-06-16,2023-11-14,ES
STU-0000036,Cristobal,Riquelme,cristobal.riquelme5102@mail.test,2000-03-16,2023-11-15,CL
STU-0000037,Matias,Rivera,matias.rivera348@lake.local,2003-10-18,2023-08-08,PE
STU-0000038,Rodrigo,Riquelme,rodrigo.riquelme8221@example.com,2007-02-14,2021-07-28,CL
STU-0000039,Matias,Valenzuela,matias.valenzuela355@lake.local,2003-05-25,2024-04-11,CL
STU-0000040,Benjamin,Riquelme,benjamin.riquelme5782@demo.io,1999-09-04,2018-08-21,ES
STU-0000041,Nicolas,Rodriguez,nicolas.rodriguez1447@demo.io,2000-10-18,2020-07-21,PE
STU-0000042,Eduardo,Riquelme,eduardo.riquelme5225@demo.io,1995-06-18,2024-09-18,CL
STU-0000043,Matias,Araya,matias.araya54@mail.test,2007-05-13,2018-08-08,CL
STU-0000044,Jose,Castillo,jose.castillo9275@mail.test,2003-06-27,2024-07-09,CL
STU-0000045,Pablo,Sandoval,pablo.sandoval6770@lake.local,2006-09-10,2018-05-05,CL
STU-0000046,Amanda,Reyes,amanda.reyes2144@example.com,1995-01-12,2022-05-19,CL
STU-0000047,Martina,Reyes,martina.reyes6737@lake.local,1998-12-11,2022-01-27,CL
STU-0000048,Felipe,Morales,felipe.morales1885@lake.local,2004-04-25,2021-01-08,BR
STU-0000049,Benjamin,Perez,benjamin.perez9802@mail.test,2007-04-12,2018-08-24,MX
STU-0000050,Luis,Pizarro,luis.pizarro1726@lake.local,2006-09-07,2022-11-27,CO
STU-0000051,Valentina,Gonzalez,valentina.gonzalez604@lake.local,2005-05-11,2025-07-31,ES
STU-0000052,Maximiliano,Castro,maximiliano.castro690@example.com,2006-02-12,2018-06-14,ES
STU-0000053,Amanda,Flores,amanda.flores4906@synthetic.dev,1997-05-03,2023-08-17,ES
STU-0000054,Martina,Toro,martina.toro9436@demo.io,2000-10-30,2020-02-21,BR
STU-0000055,Carmen,Vargas,carmen.vargas2675@lake.local,2005-04-20,2024-05-08,CL
STU-0000056,Maximiliano,Hernandez,maximiliano.hernandez5321@lake.local,1997-05-03,2019-10-28,MX
STU-0000057,Catalina,Pizarro,catalina.pizarro1665@example.com,1996-08-14,2023-09-21,CL
STU-0000058,Carlos,Henriquez,carlos.henriquez6795@example.com,2005-08-24,2025-01-24,US
STU-0000059,Paula,Cortes,paula.cortes1359@demo.io,1999-03-27,2022-09-09,CL
STU-0000060,Trinidad,Castillo,trinidad.castillo5903@synthetic.dev,2003-07-10,2022-05-21,PE
STU-0000061,Lucia,Valenzuela,lucia.valenzuela9464@mail.test,1999-06-09,2024-09-21,CL
STU-0000062,Daniel,Gutierrez,daniel.gutierrez7401@demo.io,2001-12-09,2018-09-01,AR
STU-0000063,Antonia,Araya,antonia.araya4127@lake.local,2001-10-31,2020-02-27,US
STU-0000064,Agustina,Silva,agustina.silva1705@lake.local,1997-06-13,2021-12-01,CL
STU-0000065,Eduardo,Espinoza,eduardo.espinoza8325@example.com,2002-06-13,2021-05-22,CL
STU-0000066,Javier,Vasquez,javier.vasquez1877@synthetic.dev,2004-10-06,2025-07-11,BR
STU-0000067,Cristobal,Romero,cristobal.romero2185@synthetic.dev,2007-08-20,2025-05-24,CL
STU-0000068,Pedro,Valenzuela,pedro.valenzuela9001@example.com,2003-01-11,2024-08-01,CL
STU-0000069,Juan,Flores,juan.flores7518@mail.test,1996-11-26,2024-11-25,CL
STU-0000070,Felipe,Contreras,felipe.contreras6619@lake.local,1996-07-13,2025-08-21,CL
STU-0000071,Camila,Cordero,camila.cordero2655@synthetic.dev,2000-11-15,2025-08-17,US
STU-0000072,Florencia,Munoz,florencia.munoz3966@synthetic.dev,2002-09-28,2019-07-07,BR
STU-0000073,Benjamin,Sandoval,benjamin.sandoval5068@demo.io,2001-07-01,2025-03-08,CL
STU-0000074,Cristobal,Morales,cristobal.morales1406@mail.test,1995-02-24,2023-01-14,CO
STU-0000075,Isabel,Fuentes,isabel.fuentes3775@demo.io,2006-08-17,2022-08-06,BR
STU-0000076,Trinidad,Castro,trinidad.castro641@synthetic.dev,2003-05-22,2020-09-10,CL
STU-0000077,Romina,Carrasco,romina.carrasco4022@example.com,2001-04-25,2023-09-05,MX
STU-0000078,Carmen,Cortes,carmen.cortes3552@lake.local,1998-08-21,2022-03-20,US
STU-0000079,Felipe,Pino,felipe.pino8620@example.com,2004-04-10,2022-07-20,ES
STU-0000080,Trinidad,Soto,trinidad.soto7993@demo.io,1999-01-25,2022-08-30,CL
STU-0000081,Cristobal,Vargas,cristobal.vargas6335@demo.io,2002-04-13,2025-08-17,BR
STU-0000082,Martina,Munoz,martina.munoz4513@lake.local,2002-02-15,2021-03-31,MX
STU-0000083,Lucia,Pizarro,lucia.pizarro9140@synthetic.dev,1996-02-07,2018-08-09,BR
STU-0000084,Macarena,Salazar,macarena.salazar6303@mail.test,2004-10-04,2018-07-09,CO
STU-0000085,Camila,Cortes,camila.cortes7257@example.com,1998-03-08,2019-07-11,ES
STU-0000086,Cristobal,Soto,cristobal.soto6330@synthetic.dev,2002-11-28,2020-04-24,PE
STU-0000087,Daniel,Rojas,daniel.rojas5037@mail.test,1996-05-04,2022-07-01,CL
STU-0000088,Maximiliano,Reyes,maximiliano.reyes4106@lake.local,2001-12-16,2023-10-21,CL
STU-0000089,Daniel,Flores,daniel.flores1131@mail.test,2000-07-05,2018-12-17,CL
STU-0000090,Pablo,Perez,pablo.perez4311@lake.local,2006-03-14,2024-09-17,CL
STU-0000091,Juan,Castro,juan.castro955@mail.test,1999-12-23,2018-05-20,BR
STU-0000092,Diego,Gonzalez,diego.gonzalez2627@lake.local,2001-01-29,2023-07-21,US
STU-0000093,Antonia,Martinez,antonia.martinez8693@synthetic.dev,2001-10-07,2025-04-03,BR
STU-0000094,Juan,Toro,juan.toro278@mail.test,2007-10-11,2019-06-30,CL
STU-0000095,Andres,Pizarro,andres.pizarro7909@mail.test,2000-06-22,2018-11-15,CL
STU-0000096,Alejandro,Saavedra,alejandro.saavedra7986@lake.local,2005-10-14,2024-10-12,AR
STU-0000097,Diego,Araya,diego.araya1688@mail.test,1995-06-27,2023-07-16,CL
STU-0000098,Romina,Contreras,romina.contreras3083@lake.local,2007-06-11,2019-01-28,US
STU-0000099,Cristobal,Perez,cristobal.perez3945@mail.test,2003-03-05,2018-02-24,CL
STU-0000100,Cristobal,Henriquez,cristobal.henriquez923@lake.local,2005-06-05,2019-01-17,US
STU-0000101,Magdalena,Morales,magdalena.morales1015@example.com,1997-04-18,2020-01-10,PE
STU-0000102,Ignacio,Reyes,ignacio.reyes8625@example.com,2001-06-13,2020-01-16,PE
STU-0000103,Diego,Contreras,diego.contreras4763@example.com,2003-01-02,2022-12-06,CL
STU-0000104,Felipe,Hernandez,felipe.hernandez7727@mail.test,2001-06-26,2022-06-18,AR
STU-0000105,Ana,Gonzalez,ana.gonzalez7136@mail.test,2006-07-24,2018-08-02,MX
STU-0000106,Vicente,Cortes,vicente.cortes5239@synthetic.dev,2001-01-30,2020-10-28,CO
STU-0000107,Felipe,Salazar,felipe.salazar4946@synthetic.dev,2001-09-02,2018-02-01,CL
STU-0000108,Eduardo,Sandoval,eduardo.sandoval4862@demo.io,2002-04-19,2025-03-15,AR
STU-0000109,Isabel,Munoz,isabel.munoz5445@mail.test,1995-10-26,2025-02-23,AR
STU-0000110,Luis,Torres,luis.torres9510@example.com,2007-12-31,2018-07-13,CL
STU-0000111,Pablo,Fuentes,pablo.fuentes3125@synthetic.dev,2003-03-31,2025-01-04,ES
STU-0000112,Valentina,Contreras,valentina.contreras5539@lake.local,2003-03-27,2018-01-30,CL
STU-0000113,Pablo,Rivera,pablo.rivera778@lake.local,2001-03-02,2025-04-11,CL
STU-0000114,Valentina,Sepulveda,valentina.sepulveda3157@lake.local,1995-06-28,2020-08-26,ES
STU-0000115,Camila,Salazar,camila.salazar3290@demo.io,2003-01-18,2023-02-03,CL
STU-0000116,Jose,Gonzalez,jose.gonzalez5954@mail.test,2000-01-07,2018-06-28,CO
STU-0000117,Vicente,Rivera,vicente.rivera233@demo.io,1997-12-01,2025-07-16,AR
STU-0000118,Agustina,Espinoza,agustina.espinoza4369@lake.local,2002-08-13,2023-03-17,ES
STU-0000119,Daniel,Lopez,daniel.lopez8221@example.com,2006-12-03,2024-02-20,CL
STU-0000120,Felipe,Bravo,felipe.bravo4683@synthetic.dev,2001-06-01,2023-03-03,CL
STU-0000121,Carlos,Sandoval,carlos.sandoval6757@lake.local,1999-12-22,2020-01-24,CL
STU-0000122,Maria,Cordero,maria.cordero4441@example.com,1999-11-17,2021-11-24,ES
STU-0000123,Ignacio,Salazar,ignacio.salazar6082@lake.local,2005-07-17,2021-07-03,MX
STU-0000124,Pedro,Bravo,pedro.bravo9623@demo.io,1998-07-24,2022-10-06,ES
STU-0000125,Vicente,Romero,vicente.romero3211@example.com,1999-08-09,2019-07-11,CL
STU-0000126,Renata,Carrasco,renata.carrasco3724@synthetic.dev,2003-02-10,2019-05-06,CL
STU-0000127,Macarena,Tapia,macarena.tapia252@mail.test,2003-12-26,2023-02-07,AR
STU-0000128,Magdalena,Romero,magdalena.romero1724@example.com,1998-04-22,2018-03-08,ES
STU-0000129,Emilia,Martinez,emilia.martinez3219@mail.test,1996-07-01,2021-06-06,PE
STU-0000130,Nicolas,Vera,nicolas.vera5829@lake.local,2006-08-29,2020-10-08,CL
STU-0000131,Manuel,Sepulveda,manuel.sepulveda4900@demo.io,2002-03-26,2018-03-04,MX
STU-0000132,Javier,Sandoval,javier.sandoval9673@synthetic.dev,1998-04-05,2020-10-16,CL
STU-0000133,Ana,Toro,ana.toro2122@synthetic.dev,2003-09-24,2019-03-21,US
STU-0000134,Luis,Carrasco,luis.carrasco8342@synthetic.dev,1999-06-19,2019-05-07,ES
STU-0000135,Renata,Sandoval,renata.sandoval3997@demo.io,2005-11-06,2018-08-02,AR
STU-0000136,Isabel,Perez,isabel.perez3627@example.com,2001-08-27,2022-10-31,CL
STU-0000137,Vicente,Diaz,vicente.diaz6995@mail.test,2003-10-19,2021-07-25,CL
STU-0000138,Emilia,Perez,emilia.perez9382@synthetic.dev,2002-06-24,2023-07-11,PE
STU-0000139,Isabel,Silva,isabel.silva4793@lake.local,2002-01-02,2025-06-25,CL
STU-0000140,Carlos,Valenzuela,carlos.valenzuela1185@synthetic.dev,2004-03-31,2021-06-08,BR
STU-0000141,Fernanda,Riquelme,fernanda.riquelme1785@example.com,2003-11-16,2023-03-15,CL
STU-0000142,Gabriel,Torres,gabriel.torres317@demo.io,1999-08-11,2020-06-17,BR
STU-0000143,Amanda,Perez,amanda.perez4270@mail.test,2005-07-04,2020-03-20,CL
STU-0000144,Daniela,Silva,daniela.silva2487@example.com,2003-09-04,2025-06-02,US
STU-0000145,Josefa,Sandoval,josefa.sandoval296@lake.local,2001-11-23,2020-08-06,CL
STU-0000146,Magdalena,Salazar,magdalena.salazar6423@lake.local,1995-08-25,2019-07-06,BR
STU-0000147,Martina,Riquelme,martina.riquelme2936@lake.local,1997-05-24,2025-02-09,BR
STU-0000148,Juan,Flores,juan.flores2542@demo.io,2003-06-09,2024-06-30,MX
STU-0000149,Sebastian,Cordero,sebastian.cordero897@synthetic.dev,2004-11-21,2024-01-25,CO
STU-0000150,Javier,Carvajal,javier.carvajal4705@synthetic.dev,2005-09-25,2025-02-25,CL
STU-0000151,Amanda,Espinoza,amanda.espinoza9793@demo.io,2007-02-10,2022-01-06,PE
STU-0000152,Romina,Arancibia,romina.arancibia2653@demo.io,2005-12-17,2019-01-18,CL
STU-0000153,Maximiliano,Torres,maximiliano.torres1081@example.com,1997-08-04,2019-08-02,CL
STU-0000154,Emilia,Gomez,emilia.gomez8502@demo.io,1997-04-25,2025-08-09,CL
STU-0000155,Ignacio,Toro,ignacio.toro6372@mail.test,2000-05-13,2019-01-03,MX
STU-0000156,Cristobal,Fuentes,cristobal.fuentes2789@synthetic.dev,2000-03-14,2023-09-20,CL
STU-0000157,Emilia,Martinez,emilia.martinez1659@lake.local,2006-12-01,2021-01-02,CL
STU-0000158,Daniel,Cortes,daniel.cortes7012@demo.io,2002-03-22,2020-04-03,CO
STU-0000159,Macarena,Tapia,macarena.tapia6401@demo.io,1998-07-26,2021-05-31,ES
STU-0000160,Sebastian,Salazar,sebastian.salazar5462@lake.local,2002-11-17,2023-06-14,CO
STU-0000161,Sofia,Martinez,sofia.martinez4879@example.com,2000-12-28,2021-01-09,CL
STU-0000162,Josefa,Gomez,josefa.gomez426@example.com,2001-08-22,2020-08-24,PE
STU-0000163,Valentina,Sandoval,valentina.sandoval5971@synthetic.dev,2001-01-18,2018-10-16,PE
STU-0000164,Rodrigo,Alvarez,rodrigo.alvarez1144@synthetic.dev,2005-05-07,2022-09-07,AR
STU-0000165,Cristobal,Silva,cristobal.silva191@demo.io,1995-10-27,2020-04-20,CL
STU-0000166,Benjamin,Gomez,benjamin.gomez1372@lake.local,2006-09-13,2023-05-29,CL
STU-0000167,Alejandro,Fuentes,alejandro.fuentes6315@demo.io,2000-07-12,2021-10-04,MX
STU-0000168,Sebastian,Vargas,sebastian.vargas3326@demo.io,1998-05-31,2024-02-14,CO
STU-0000169,Paula,Lopez,paula.lopez6278@synthetic.dev,1996-10-27,2023-11-12,CO
STU-0000170,Rodrigo,Carvajal,rodrigo.carvajal978@mail.test,2003-03-27,2018-03-12,CL
STU-0000171,Benjamin,Arancibia,benjamin.arancibia884@synthetic.dev,2002-08-23,2023-01-19,MX
STU-0000172,Fernanda,Diaz,fernanda.diaz4265@example.com,2000-06-13,2018-04-12,CL
STU-0000173,Macarena,Espinoza,macarena.espinoza6242@mail.test,2006-04-28,2021-10-24,PE
